<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.21	17:30:00	2176.87	2181.58	2175.69	2178.05	3657	0	5
2024.03.21	17:45:00	2178.04	2181.21	2176.49	2176.68	2778	0	5
2024.03.21	18:00:00	2176.69	2176.90	2168.76	2172.56	4026	0	5
2024.03.21	18:15:00	2172.56	2173.65	2166.47	2167.80	2895	0	5
2024.03.21	18:30:00	2167.79	2173.46	2167.24	2171.74	2757	0	5
2024.03.21	18:45:00	2171.74	2175.10	2171.74	2174.74	2693	0	5
2024.03.21	19:00:00	2174.74	2177.39	2173.06	2176.78	2342	0	5
2024.03.21	19:15:00	2176.78	2178.75	2175.54	2177.75	2227	0	5
2024.03.21	19:30:00	2177.75	2178.67	2176.41	2177.41	1311	0	5
2024.03.21	19:45:00	2177.41	2180.36	2177.33	2179.98	1435	0	5
2024.03.21	20:00:00	2179.98	2183.59	2178.62	2182.76	1685	0	5
2024.03.21	20:15:00	2182.76	2183.80	2181.21	2183.03	1838	0	5
2024.03.21	20:30:00	2182.98	2183.55	2179.96	2181.14	1396	0	5
2024.03.21	20:45:00	2181.14	2181.24	2179.51	2180.90	1174	0	5
2024.03.21	21:00:00	2180.90	2183.25	2180.90	2181.43	1024	0	1
2024.03.21	21:15:00	2181.42	2182.03	2180.50	2181.42	806	0	5
2024.03.21	21:30:00	2181.42	2183.03	2181.01	2182.97	984	0	5
2024.03.21	21:45:00	2182.97	2184.06	2182.20	2182.88	840	0	5
2024.03.21	22:00:00	2182.90	2183.70	2182.08	2182.17	945	0	5
2024.03.21	22:15:00	2182.17	2182.38	2181.75	2182.21	695	0	5
2024.03.21	22:30:00	2182.21	2182.36	2181.10	2181.78	574	0	5
2024.03.21	22:45:00	2181.79	2182.08	2180.34	2181.49	880	0	5
2024.03.21	23:00:00	2181.49	2182.31	2181.05	2182.29	506	0	5
2024.03.21	23:15:00	2182.30	2182.51	2181.35	2181.47	254	0	5
2024.03.21	23:30:00	2181.47	2181.74	2180.98	2181.01	273	0	5
2024.03.21	23:45:00	2181.03	2181.27	2180.63	2181.25	337	0	5
2024.03.22	01:00:00	2181.50	2182.64	2181.11	2182.52	438	0	5
2024.03.22	01:15:00	2182.51	2182.55	2181.71	2182.04	210	0	5
2024.03.22	01:30:00	2182.04	2182.12	2181.24	2181.24	160	0	5
2024.03.22	01:45:00	2181.24	2181.38	2181.09	2181.29	91	0	3
2024.03.22	02:00:00	2181.29	2181.61	2181.11	2181.59	275	0	5
2024.03.22	02:15:00	2181.58	2181.61	2180.93	2181.61	223	0	5
2024.03.22	02:30:00	2181.61	2181.71	2181.19	2181.40	241	0	5
2024.03.22	02:45:00	2181.37	2181.89	2180.94	2181.81	413	0	5
2024.03.22	03:00:00	2181.81	2182.78	2181.08	2182.65	697	0	5
2024.03.22	03:15:00	2182.65	2184.56	2182.63	2184.13	808	0	4
2024.03.22	03:30:00	2184.13	2186.13	2183.67	2185.59	795	0	5
2024.03.22	03:45:00	2185.60	2185.68	2183.70	2185.03	856	0	5
2024.03.22	04:00:00	2185.03	2185.94	2183.43	2185.07	1158	0	5
2024.03.22	04:15:00	2185.07	2185.37	2183.61	2183.91	1002	0	5
2024.03.22	04:30:00	2183.91	2184.10	2179.67	2181.64	1866	0	5
2024.03.22	04:45:00	2181.64	2182.27	2172.71	2173.48	2124	0	5
2024.03.22	05:00:00	2173.48	2177.12	2173.19	2175.63	2300	0	5
2024.03.22	05:15:00	2175.66	2177.19	2175.05	2175.63	1473	0	5
2024.03.22	05:30:00	2175.63	2175.86	2171.84	2173.63	1470	0	5
2024.03.22	05:45:00	2173.67	2174.44	2172.19	2172.61	1581	0	5
2024.03.22	06:00:00	2172.61	2174.59	2172.27	2174.01	1364	0	5
