<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.11	01:00:00	5025.85	5054.62	5024.03	5042.08	17835	0	8
2026.02.11	02:00:00	5042.08	5049.57	5028.03	5037.90	18145	0	8
2026.02.11	03:00:00	5037.94	5053.06	5030.76	5052.57	23281	0	8
2026.02.11	04:00:00	5052.57	5057.82	5032.04	5055.77	20536	0	8
2026.02.11	05:00:00	5055.77	5060.82	5045.12	5054.62	13931	0	8
2026.02.11	06:00:00	5054.58	5059.74	5045.22	5046.56	8941	0	8
2026.02.11	07:00:00	5046.56	5063.91	5043.05	5052.72	14841	0	8
2026.02.11	08:00:00	5052.73	5064.56	5049.01	5064.09	17362	0	8
2026.02.11	09:00:00	5064.10	5069.54	5049.02	5055.64	23108	0	8
2026.02.11	10:00:00	5055.64	5060.52	5045.27	5053.76	12243	0	8
2026.02.11	11:00:00	5053.76	5072.12	5047.10	5062.77	13602	0	8
2026.02.11	12:00:00	5062.77	5101.32	5062.45	5093.38	25978	0	8
2026.02.11	13:00:00	5093.38	5116.78	5082.31	5111.92	18953	0	8
2026.02.11	14:00:00	5111.92	5119.06	5050.44	5083.57	35858	0	8
2026.02.11	15:00:00	5083.57	5089.99	5018.66	5065.90	71539	0	8
2026.02.11	16:00:00	5065.90	5083.20	5034.28	5059.50	57724	0	8
2026.02.11	17:00:00	5059.31	5082.00	5037.78	5060.35	71004	0	8
2026.02.11	18:00:00	5060.34	5078.28	5042.05	5075.32	37851	0	8
2026.02.11	19:00:00	5075.31	5099.00	5067.90	5091.74	31523	0	8
2026.02.11	20:00:00	5091.73	5093.01	5066.66	5082.49	33042	0	8
2026.02.11	21:00:00	5082.48	5094.37	5076.35	5082.16	26810	0	8
2026.02.11	22:00:00	5082.14	5090.10	5078.32	5086.82	23610	0	8
2026.02.11	23:00:00	5086.82	5093.06	5069.88	5084.24	11664	0	8
2026.02.12	01:00:00	5090.28	5099.92	5052.78	5061.04	22785	0	8
2026.02.12	02:00:00	5061.04	5067.63	5049.41	5062.98	32002	0	8
2026.02.12	03:00:00	5062.98	5064.34	5045.02	5063.39	32625	0	8
2026.02.12	04:00:00	5063.39	5072.82	5055.09	5066.05	23786	0	8
2026.02.12	05:00:00	5066.05	5074.68	5054.64	5057.07	14805	0	8
2026.02.12	06:00:00	5057.07	5069.98	5050.47	5069.42	10185	0	8
2026.02.12	07:00:00	5069.42	5078.33	5064.69	5075.66	15792	0	8
2026.02.12	08:00:00	5075.66	5076.40	5046.66	5059.67	24700	0	8
2026.02.12	09:00:00	5059.69	5066.34	5051.82	5063.95	15043	0	8
2026.02.12	10:00:00	5063.95	5073.53	5052.51	5068.62	17966	0	8
2026.02.12	11:00:00	5068.60	5080.84	5066.37	5073.22	15029	0	8
2026.02.12	12:00:00	5073.18	5077.24	5055.81	5062.12	15476	0	8
2026.02.12	13:00:00	5062.12	5068.41	5059.23	5064.17	12097	0	8
2026.02.12	14:00:00	5064.18	5068.66	5048.12	5052.87	16305	0	8
2026.02.12	15:00:00	5052.87	5083.75	5051.50	5075.45	28373	0	8
2026.02.12	16:00:00	5075.52	5077.80	5037.80	5044.44	44432	0	8
2026.02.12	17:00:00	5044.45	5074.87	5038.43	5060.68	33945	0	8
2026.02.12	18:00:00	5060.70	5068.32	4878.56	4954.65	122422	0	8
2026.02.12	19:00:00	4954.64	4982.90	4938.83	4941.10	80584	0	8
2026.02.12	20:00:00	4941.08	4952.26	4906.54	4935.68	77471	0	8
2026.02.12	21:00:00	4935.68	4958.20	4927.71	4945.59	46695	0	8
2026.02.12	22:00:00	4945.58	4948.45	4910.39	4914.73	51401	0	8
2026.02.12	23:00:00	4914.73	4926.78	4910.04	4921.64	14028	0	8
2026.02.13	01:00:00	4926.44	4931.10	4885.48	4920.23	30906	0	8
2026.02.13	02:00:00	4920.22	4948.59	4913.70	4928.15	27741	0	8
2026.02.13	03:00:00	4928.18	4988.68	4927.27	4980.92	35210	0	8
2026.02.13	04:00:00	4980.90	4991.60	4970.82	4988.40	21563	0	8
2026.02.13	05:00:00	4988.41	4989.28	4973.80	4981.47	14821	0	8
2026.02.13	06:00:00	4981.47	4997.22	4972.15	4976.70	12908	0	8
2026.02.13	07:00:00	4976.70	4986.48	4944.89	4946.38	22811	0	8
2026.02.13	08:00:00	4946.37	4968.80	4946.16	4967.32	26960	0	8
2026.02.13	09:00:00	4967.32	4982.72	4951.15	4975.06	23405	0	8
2026.02.13	10:00:00	4975.06	4989.56	4970.93	4982.70	23799	0	8
2026.02.13	11:00:00	4982.70	4982.92	4961.22	4970.33	18563	0	8
2026.02.13	12:00:00	4970.32	4980.70	4946.60	4950.24	17194	0	8
2026.02.13	13:00:00	4950.24	4955.48	4933.70	4953.82	24873	0	8
2026.02.13	14:00:00	4953.82	4974.22	4951.42	4969.52	19906	0	8
2026.02.13	15:00:00	4969.54	5000.34	4957.37	4987.15	41718	0	8
2026.02.13	16:00:00	4987.18	5010.97	4964.36	4995.62	64591	0	8
2026.02.13	17:00:00	4995.91	5020.60	4973.94	4976.77	75546	0	8
2026.02.13	18:00:00	4976.77	5033.86	4975.23	5007.88	53883	0	8
2026.02.13	19:00:00	5007.88	5029.30	5004.79	5021.06	31497	0	8
2026.02.13	20:00:00	5021.09	5035.64	5015.47	5031.30	30736	0	8
2026.02.13	21:00:00	5031.30	5046.10	5023.56	5023.64	24370	0	8
2026.02.13	22:00:00	5023.64	5034.67	5020.72	5032.56	27398	0	8
2026.02.13	23:00:00	5032.56	5045.94	5029.74	5042.46	8628	0	8
2026.02.16	01:00:00	5037.76	5053.12	5011.71	5020.12	27165	0	8
2026.02.16	02:00:00	5020.16	5022.80	4998.67	5015.64	24237	0	8
2026.02.16	03:00:00	5015.64	5031.27	5007.04	5028.90	17931	0	8
2026.02.16	04:00:00	5028.90	5031.21	4992.32	4994.82	21075	0	6
2026.02.16	05:00:00	4994.81	5000.01	4975.97	4987.60	19325	0	6
2026.02.16	06:00:00	4987.59	4992.24	4972.91	4977.76	17930	0	6
2026.02.16	07:00:00	4977.88	4990.82	4963.84	4990.68	15879	0	6
2026.02.16	08:00:00	4990.68	5003.10	4984.79	4994.90	13256	0	6
2026.02.16	09:00:00	4994.91	5010.06	4988.89	5007.30	15173	0	6
2026.02.16	10:00:00	5007.30	5013.38	4995.86	5008.11	16836	0	6
2026.02.16	11:00:00	5008.11	5017.17	5008.00	5013.53	12008	0	6
2026.02.16	12:00:00	5013.53	5017.27	5000.44	5006.14	14310	0	6
2026.02.16	13:00:00	5006.16	5008.14	4999.04	5004.42	10032	0	6
